,Entity,Year,Biofuels Consumption - TWh - Total (zero filled),Solar Consumption - TWh (zero filled),Wind Consumption - TWh (zero filled),Hydro Consumption - TWh (zero filled),Nuclear Consumption - TWh (zero filled),Gas Consumption - TWh (zero filled),Coal Consumption - TWh (zero filled),Oil Consumption - TWh (zero filled),Geo Biomass Other - TWh (zero filled),GDP_PPP
1740,North America,1994,28.84628227777777,1.4136816666666665,9.849800833333331,1687.4117263888888,2181.8622280555555,6779.639738888889,5888.430747222223,11574.085308333331,78.30638277,7931277596258.69
1741,North America,1995,30.94238216666667,1.4536491666666664,9.061708888888887,1869.106156111111,2262.3654180555554,7059.250813888889,5957.545705555555,11532.765227777778,76.81738876,8314989034770.02
1742,North America,1996,22.19421997777778,1.5367666666666666,9.263156666666664,2037.438423055556,2250.6685555555555,7187.263166666666,6226.6268527777775,11929.056797222222,78.53902995,8786634111741.51
1743,North America,1997,28.10371772222222,1.5156752777777778,9.431243055555557,2030.5967766666663,2094.837342222222,7240.746061111111,6364.278352777778,12124.248277777777,79.87154943,9335655061040.39
1744,North America,1998,32.289337833333335,1.5049016666666666,8.70349611111111,1882.089287222222,2192.827058611111,7144.153666666667,6446.902077777778,12367.441616666669,80.74296554,9859340366431.02
1745,North America,1999,33.72840908333333,1.4961255555555557,13.089809166666669,1928.6619016666664,2359.9035788888887,7222.451247222222,6425.332783333333,12665.187588888888,81.48087001,10480063824816.6
1746,North America,2000,39.45969733333334,1.5053713888888889,16.479885,1840.5453008333327,2428.0172222222222,7535.246877777778,6717.9113916666665,12823.72735,81.85850952,11156680388305.8
1747,North America,2001,41.78088575,1.6611705555555556,19.738724444444447,1573.593848611111,2467.701663611111,7208.907391666667,6554.112713888889,12820.121102777775,82.75008204,11523265696151.7
1748,North America,2002,49.37362877777778,1.7338202777777778,29.845607777777776,1733.7362483333334,2483.8280833333333,7486.465633333332,6609.831411111111,12822.691438888887,87.90652127,11911083311069.7
1749,North America,2003,66.25056344444445,1.7475230555555556,32.718109166666665,1705.346656111111,2421.4163572222224,7364.842661111111,6688.213216666667,13054.27246111111,87.69914659,12485782014629.2
1750,North America,2004,82.98569952777778,1.9528225,41.28619749999999,1694.9362702777776,2514.7594091666665,7404.694372222222,6710.556088888889,13543.776075,89.01173328,13301389764881.2
1751,North America,2005,96.93494775,2.088348611111111,52.61783388888889,1764.8069575,2489.0701927777777,7362.855194444444,6828.731413888889,13550.41799722222,89.88983493,14212213878120.8
1752,North America,2006,134.69760225000002,2.2910341666666665,78.45316666666666,1787.8808444444444,2504.0267469444443,7324.499755555556,6730.314163888889,13407.122838888889,89.50728264,15060824050457.5
1753,North America,2007,175.01978558333334,3.0104819444444444,100.9988913888889,1694.7013027777778,2529.097945833333,7745.408141666666,6818.203302777777,13414.604033333331,91.11012021,15758353321324.7
1754,North America,2008,237.490536,4.453426111111111,158.29491222222222,1762.7350183333333,2517.7873269444444,7820.909811111112,6685.830191666667,12638.560980555554,89.4265981,16060143338578.6
1755,North America,2009,268.1296506111111,5.8029825,214.78361638888887,1749.694805,2468.320451111111,7733.232897222222,5882.201177777778,12032.090930555556,89.64898716,15760596726141.0
1756,North America,2010,308.2926838888889,8.601781944444445,275.2634586111111,1683.8799258333331,2464.863230555556,8062.538908333333,6235.645666666666,12245.550411111111,92.80545386,16360229075477.8
1757,North America,2011,337.0356111111111,13.86926361111111,345.2539308333333,1886.8172625,2422.555425277778,8301.43126388889,5903.124555555556,12071.838016666668,93.35586762,16977907249203.2
1758,North America,2012,342.5091375,25.724126388888887,405.0222763888889,1767.5050725,2351.137299444444,8615.81823611111,5235.084097222222,11884.706455555555,94.71085627,17669476183508.9
